framework_key,element_key,display_name,status,synonyms
b2c-elements,therapeutic,Therapeutic value,ok,Healing; Soothing; Relief; Comfort; Treatment; Remedy; Medicinal; Restorative; Curative; Pain relief
b2c-elements,fun_entertainment,Fun/entertainment,ok,Enjoyment; Amusement; Excitement; Recreation; Leisure; Play; Engaging; Entertaining; Delightful; Pleasure
b2c-elements,attractiveness,Attractive appearance,ok,Beauty; Confidence boost; Sex appeal; Allure; Glamorous; Enhancing appearance; Looking good; Flattering; Appealing; Desirable
b2c-elements,provides_access,Provides access,ok,Availability; Accessibility; Convenience; Entry; Admission; Opening doors; Gateway; Connection; Reach; Opportunity
b2c-elements,provides_hope,Provides hope,ok,Optimism; Better future; Promise of improvement; Aspirational; Transformation; Dream fulfillment; Positive outlook; Bright future
b2c-elements,self_actualization,Self-actualization,ok,Personal growth; Achievement; Self-improvement; Fulfillment; Mastery; Excellence; Personal best; Peak performance; Self-development
b2c-elements,motivation,Motivation,ok,Inspiration; Encouragement; Drive; Ambition; Goal achievement; Push forward; Get started; Take action; Empowerment
b2c-elements,heirloom,Heirloom,ok,Legacy; Investment; Lasting value; Timeless; Generational; Keepsake; Treasure; Forever; Collectible; Inheritance
b2c-elements,affiliation,Affiliation/belonging,ok,Community; Membership; Tribe; Belonging; Identity; Group membership; Fan base; Club; Insider; Part of something bigger
b2c-elements,self_transcendence,Self-transcendence,ok,Social good; Giving back; Philanthropy; Charity; Social impact; Making a difference; Helping others; Social responsibility; Cause-related; Purpose-driven
b2b-elements,meeting_specifications,Meeting specifications,ok,Compliance; Conformance; Requirements met; Specifications fulfilled; Standards adherence; Meets criteria; Certified; Approved
b2b-elements,acceptable_price,Acceptable price,ok,Fair pricing; Competitive pricing; Reasonable cost; Market-rate pricing; Value for money; Affordable; Justifiable cost
b2b-elements,regulatory_compliance,Regulatory compliance,ok,Legal compliance; Regulatory adherence; Industry standards; Certification; Accreditation; Licensed; Meets regulations; Compliant
b2b-elements,ethical_standards,Ethical standards,ok,Integrity; Transparency; Honesty; Ethical practices; Corporate responsibility; Trustworthiness; Fair dealings; Principled
b2b-elements,improved_top_line,Improved top line,ok,Revenue growth; Sales increase; Income boost; Top-line growth; Revenue enhancement; Sales performance; Profit increase
b2b-elements,cost_reduction,Cost reduction,ok,Cost savings; Lower costs; Reduced expenses; Affordability; Budget-friendly; Cost-effective; Economical; Value pricing
b2b-elements,product_quality,Product quality,ok,Excellence; Superior quality; Premium; High standards; Best-in-class; Top-tier; Outstanding quality; Craftsmanship
b2b-elements,scalability,Scalability,ok,Growth capacity; Expandable; Elastic; Grows with you; Unlimited scale; Flexible capacity; Auto-scaling; Enterprise-ready
b2b-elements,innovation,Innovation,ok,Cutting-edge; Advanced technology; Leading-edge; Pioneering; Breakthrough; State-of-the-art; Revolutionary; Next-generation
b2b-elements,time_savings,Time savings,ok,Efficiency; Speed; Fast results; Quick turnaround; Saves hours; Time efficiency; Rapid deployment; Faster processes
b2b-elements,reduced_effort,Reduced effort,ok,Easier; Effortless; Simplified workload; Less work; Hassle-free; Low effort; Turnkey solution; Done-for-you
b2b-elements,decreased_hassles,Decreased hassles,ok,Smooth experience; Friction-free; Problem-free; Seamless; No headaches; Hassle-free; Smooth sailing; Easy process
b2b-elements,information,Information,ok,Knowledge; Insights; Data; Intelligence; Education; Learning resources; Analytics; Reporting; Transparency
b2b-elements,transparency,Transparency,ok,Visibility; Clear view; Openness; Full disclosure; Crystal clear; Complete visibility; Real-time insights; Clear reporting
b2b-elements,organization,Organization,ok,Structure; Order; System; Arrangement; Organized workflow; Systematic approach; Structured processes; Orderly system
b2b-elements,simplification,Simplification,ok,Simplified; Easy; Uncomplicated; Straightforward; User-friendly; Intuitive; Streamlined; Demystified
b2b-elements,connection,Connection,ok,Communication; Integration; Linking; Networking; Collaboration; Connectivity; Bridges gaps; Brings together
b2b-elements,integration,Integration,ok,Unification; Consolidation; Bringing together; Seamless integration; System integration; Unified platform; All-in-one solution
b2b-elements,availability,Availability,ok,Accessible; On-demand; 24/7 access; Always available; Omnipresent; Everywhere; Anytime access; Wide availability
b2b-elements,variety,Variety,ok,Options; Selection; Range; Choices; Diversity; Assortment; Multiple options; Wide selection
b2b-elements,configurability,Configurability,ok,Customizable; Flexible; Adaptable; Tailored; Personalized; Adjustable; Custom-fit; Bespoke options
b2b-elements,responsiveness,Responsiveness,ok,Quick response; Fast support; Immediate help; Prompt service; Quick turnaround; Rapid response; Attentive; Proactive support
b2b-elements,expertise,Expertise,ok,Knowledge; Specialization; Industry experts; Deep expertise; Subject matter experts; Thought leadership; Proven experience
b2b-elements,commitment,Commitment,ok,Dedication; Partnership; Long-term relationship; Customer success focus; Invested in your success; Goes the extra mile; Dedicated support
b2b-elements,stability,Stability,ok,Reliable; Established; Long-standing; Proven track record; Financial strength; Enduring; Dependable; Solid foundation
b2b-elements,cultural_fit,Cultural fit,ok,Values alignment; Shared values; Culture match; Like-minded; Compatible; Values-driven; Mission-aligned; Symbiotic relationship
b2b-elements,risk_reduction,Risk reduction,ok,Risk mitigation; Loss prevention; Protection; Security; Safeguards; Insurance; Guaranteed results; Safety measures
b2b-elements,reach,Reach,ok,Expansion; Geographic reach; Market expansion; Global access; Extended reach; Wider market; Scale; Growth enablement
b2b-elements,flexibility,Flexibility,ok,Adaptable; Versatile; Custom solutions; Tailored approach; Agile; Accommodating; Adjustable; Personalized
b2b-elements,component_quality,Component quality,ok,Quality enhancement; Brand value; Premium components; Quality assurance; Reputation boost; Value-add; Quality certification
b2b-elements,network_expansion,Network expansion,ok,Professional networking; Connections; Industry contacts; Relationship building; Networking opportunities; Professional community
b2b-elements,marketability,Marketability,ok,Career advancement; Professional credentials; Skills development; Certification; Industry recognition; Competitive advantage; Resume building
b2b-elements,reputational_assurance,Reputational assurance,ok,"Safe choice; Risk-free decision; Proven track record; Industry leader; Trusted brand; ""Nobody gets fired for choosing...""; Credibility protection"
b2b-elements,design_aesthetics_b2b,Design & aesthetics,ok,Visual appeal; Beautiful design; Aesthetic quality; Modern design; Sleek interface; User experience design; Visual design
b2b-elements,growth_development,Growth & development,ok,Personal development; Learning opportunities; Professional growth; Skills enhancement; Training programs; Self-improvement; Continuous learning
b2b-elements,reduced_anxiety_b2b,Reduced anxiety,ok,Peace of mind; Security; Risk mitigation; Worry-free; Confidence; Assurance; Stress reduction; Safety net
b2b-elements,fun_perks,Fun & perks,ok,Enjoyable experience; Rewards; Entertainment; Engaging; Delightful; User satisfaction; Enjoyment; Perks and benefits
b2b-elements,vision,Vision,ok,Market foresight; Future planning; Trend anticipation; Market intelligence; Strategic foresight; Predictive insights
b2b-elements,hope_b2b,Hope,ok,Optimism; Future confidence; Positive outlook; Better future; Transformation promise; Aspirational messaging
b2b-elements,social_responsibility,Social responsibility,ok,
clifton,analytical,Analytical,ok,
clifton,context,Context,ok,
clifton,futuristic,Futuristic,ok,
clifton,ideation,Ideation,ok,
clifton,input,Input,ok,
clifton,intellection,Intellection,ok,
clifton,learner,Learner,ok,
clifton,strategic,Strategic,ok,
clifton,achiever,Achiever,ok,
clifton,arranger,Arranger,ok,
clifton,belief,Belief,ok,
clifton,consistency,Consistency,ok,
clifton,deliberative,Deliberative,ok,
clifton,discipline,Discipline,ok,
clifton,focus,Focus,ok,
clifton,responsibility,Responsibility,ok,
clifton,restorative,Restorative,ok,
clifton,activator,Activator,ok,
clifton,command,Command,ok,
clifton,communication,Communication,ok,
clifton,competition,Competition,ok,
clifton,maximizer,Maximizer,ok,
clifton,self_assurance,Self Assurance,ok,
clifton,significance,Significance,ok,
clifton,woo,Woo,ok,
clifton,adaptability,Adaptability,ok,
clifton,connectedness,Connectedness,ok,
clifton,developer,Developer,ok,
clifton,empathy,Empathy,ok,
clifton,harmony,Harmony,ok,
clifton,includer,Includer,ok,
clifton,individualization,Individualization,ok,
clifton,positivity,Positivity,ok,
clifton,relator,Relator,ok,
golden-circle,why:clarity,Clarity,ok,
golden-circle,why:authenticity,Authenticity,ok,
golden-circle,why:inspiration,Inspiration,ok,
golden-circle,why:consistency,Consistency,ok,
golden-circle,why:differentiation,Differentiation,ok,
golden-circle,why:emotional_resonance,Emotional Resonance,ok,
golden-circle,how:uniqueness,Uniqueness,ok,
golden-circle,how:clarity,Clarity,ok,
golden-circle,how:consistency,Consistency,ok,
golden-circle,how:alignment,Alignment,ok,
golden-circle,how:proof_points,Proof Points,ok,
golden-circle,how:competitive_moat,Competitive Moat,ok,
golden-circle,what:clarity,Clarity,ok,
golden-circle,what:alignment,Alignment,ok,
golden-circle,what:quality,Quality,ok,
golden-circle,what:proof,Proof,ok,
golden-circle,what:evolution,Evolution,ok,
golden-circle,what:market_fit,Market Fit,ok,
golden-circle,who:clarity,Clarity,ok,
golden-circle,who:alignment,Alignment,ok,
golden-circle,who:specificity,Specificity,ok,
golden-circle,who:understanding,Understanding,ok,
golden-circle,who:resonance,Resonance,ok,
golden-circle,who:loyalty,Loyalty,ok,
brand-archetypes,hero,The Hero,ok,bravery; valor; heroism; fearlessness; boldness; daring; audacity; nerve; guts; pluck; spirit; heart; mettle; fortitude; resolve; determination; willpower; strength; resilience; endurance; power; might; force; energy; vigor; vitality; stamina; toughness; durability; robustness; sturdiness; solidity; stability; firmness; steadfastness; reliability; dependability; trustworthiness; success; accomplishment; victory; triumph; win; conquest; attainment; realization; fulfillment; completion; finish; conclusion; result; outcome; effect; impact; influence; difference; change; transformation; obstacle; difficulty; problem; hurdle; barrier; impediment; obstruction; block; setback; adversity; hardship; trial; test; ordeal; struggle; fight; battle; conflict; confrontation; opposition; conquer; defeat; beat; vanquish; prevail; succeed; achieve; accomplish; complete; solve; fix; repair; restore; heal; recover; bounce back; persistence; perseverance; tenacity; grit; drive; motivation; ambition; aspiration; goal; objective; target; aim; purpose; intention; plan; strategy; approach; method
brand-archetypes,magician,The Magician,ok,change; alteration; modification; adjustment; adaptation; revision; amendment; correction; improvement; enhancement; upgrade; update; modernization; innovation; development; progress; advancement; evolution; growth; expansion; sight; seeing; viewing; observing; watching; looking; gazing; staring; peering; examining; inspecting; scrutinizing; studying; analyzing; evaluating; assessing; reviewing; considering; contemplating; reflecting; creativity; originality; novelty; newness; freshness; uniqueness; distinctiveness; individuality; personality; character; nature; essence; substance; quality; value; worth; merit; excellence; superiority; greatness; wonder; amazement; astonishment; surprise; shock; awe; admiration; respect; reverence; veneration; worship; adoration; love; affection; fondness; attachment; devotion; dedication; commitment; loyalty; unattainable; unreachable; unachievable; unobtainable; inaccessible; unavailable; unprocurable; ungettable; ungraspable; unseizable; make; produce; generate; create; build; construct; develop; design; form; shape; mold; fashion; craft; manufacture; fabricate; assemble; put together; bring together; combine; merge
brand-archetypes,outlaw,The Outlaw,ok,change; transformation; upheaval; disruption; disturbance; interruption; interference; intervention; involvement; participation; engagement; interaction; connection; relationship; bond; link; tie; attachment; affiliation; association; resistance; opposition; defiance; challenge; confrontation; conflict; struggle; fight; battle; war; combat; contest; competition; rivalry; enmity; hostility; animosity; antagonism; antipathy; dislike; alteration; modification; adjustment; adaptation; revision; amendment; correction; improvement; enhancement; upgrade; update; modernization; innovation; development; progress; advancement; evolution; growth; expansion; break; shatter; destroy; demolish; ruin; wreck; damage; harm; hurt; injure; wound; cut; split; divide; separate; part
brand-archetypes,caregiver,The Caregiver,ok,empathy; sympathy; understanding; care; concern; kindness; gentleness; tenderness; warmth; love; affection; fondness; attachment; devotion; dedication; commitment; loyalty; faithfulness; reliability; dependability; caring; supportive; protective; loving; affectionate; tender; gentle; kind; warm; friendly; welcoming; inviting; open; accepting; patient; tolerant; forgiving; generous; giving; help; assistance; aid; support; backing; encouragement; reinforcement; strengthening; bolstering; boosting; enhancing; improving; bettering; uplifting; elevating; raising; lifting; promoting; advancing; facilitating; service; attention; consideration; regard; respect; honor; reverence; admiration; appreciation; gratitude; thankfulness; recognition; acknowledgment; validation; safety; security; shelter; refuge; sanctuary; haven; safe haven; protection; defense; guard; shield; cover; safeguard; assurance; guarantee; promise; assist; serve; nurture; protect; defend; secure; ensure; commit; dedicate; devote
brand-archetypes,ruler,The Ruler,ok,guidance; direction; management; administration; supervision; oversight; control; command; authority; power; influence; impact; effect; result; outcome; consequence; significance; importance; value; worth; quality; superiority; greatness; outstandingness; remarkableness; extraordinariness; exceptionalness; specialness; uniqueness; distinctiveness; individuality; personality; character; nature; essence; substance; merit; virtue; position; rank; standing; station; level; grade; class; category; type; kind; sort; variety; species; genus; family; group; set; collection; assortment; array; strength; might; force; energy; vigor; vitality; stamina; endurance; resilience; toughness; durability; robustness; sturdiness; solidity; stability; firmness; steadfastness; reliability; dependability; trustworthiness
brand-archetypes,creator,The Creator,ok,making; producing; generating; creating; building; constructing; developing; designing; forming; shaping; molding; fashioning; crafting; manufacturing; fabricating; assembling; putting together; bringing together; combining; merging; creativity; originality; novelty; newness; freshness; uniqueness; distinctiveness; individuality; personality; character; nature; essence; substance; quality; value; worth; merit; excellence; superiority; greatness; skill; ability; talent; capability; capacity; competence; proficiency; expertise; mastery; virtuosity; artistry; craftsmanship; workmanship; skillfulness; dexterity; adroitness; deftness; nimbleness; agility; flexibility; communication; articulation; utterance; statement; declaration; announcement; proclamation; pronouncement; assertion; affirmation; confirmation; validation; verification; authentication; certification; accreditation; approval; endorsement; support; backing; construct; create; make; produce; generate; develop; design; form; shape; mold; fashion; craft; manufacture; fabricate; assemble; put together; bring together; combine; merge; unite; join; connect; link; attach; fasten; secure; fix; establish; set up; install; significant; important; valuable; worthwhile; useful; beneficial; advantageous; helpful; supportive; constructive; positive; good; excellent; great; outstanding; remarkable; extraordinary; exceptional; special; unique
brand-archetypes,innocent,The Innocent,ok,hope; positivity; confidence; faith; trust; belief; expectation; anticipation; eagerness; enthusiasm; excitement; joy; happiness; delight; pleasure; satisfaction; contentment; fulfillment; gratification; reward; simplicity; clarity; straightforwardness; directness; plainness; uncomplicatedness; ease; easiness; facility; convenience; comfort; relaxation; peace; tranquility; calm; serenity; quiet; stillness; silence; rest; purity; cleanliness; cleanness; freshness; newness; novelty; originality; uniqueness; distinctiveness; individuality; personality; character; nature; essence; substance; quality; value; worth; merit; excellence; optimism; reliance; dependence; assurance; certainty; conviction; sureness; security; safety; protection; shelter; refuge; sanctuary; haven; safe haven; optimistic; hopeful; confident; positive; upbeat; cheerful; happy; joyful; merry; gay; bright; sunny; radiant; glowing; shining; brilliant; dazzling; sparkling; glittering; twinkling
brand-archetypes,explorer,The Explorer,ok,liberty; independence; autonomy; self-reliance; self-determination; liberation; emancipation; release; escape; break free; unbound; unrestrained; unlimited; unrestricted; open; flexible; adaptable; mobile; nomadic; wandering; journey; quest; expedition; voyage; trek; odyssey; pilgrimage; exploration; discovery; venture; undertaking; escapade; exploit; feat; challenge; risk; daring; bold; courageous; brave; explore; discover; find; uncover; reveal; unearth; detect; identify; locate; encounter; experience; try; test; experiment; investigate; research; search; seek; hunt; pursue; novel; fresh; original; innovative; groundbreaking; pioneering; cutting-edge; state-of-the-art; advanced; modern; contemporary; latest; newest; recent; current; up-to-date; updated; upgraded; improved; adventure; trip; meeting; interaction; engagement; participation; involvement; immersion; trial; attempt; effort; endeavor; limits; restrictions; constraints; barriers; obstacles; boundaries; borders; edges; frontiers; horizons; thresholds; ceilings; caps; maximums; minimums; rules; regulations; guidelines; parameters; standards
brand-archetypes,sage,The Sage,ok,wisdom; expertise; mastery; understanding; insight; intelligence; erudition; scholarship; learning; education; teaching; instruction; guidance; mentorship; coaching; training; development; growth; enlightenment; illumination; expert; specialist; professional; scholar; academic; researcher; analyst; consultant; advisor; mentor; teacher; professor; instructor; guide; guru; master; veteran; experienced; seasoned; qualified; certified; accurate; factual; verified; validated; confirmed; proven; reliable; trustworthy; credible; authentic; genuine; real; honest; transparent; clear; precise; exact; correct; right; true; research; study; investigation; examination; exploration; inquiry; analysis; evaluation; assessment; review; critique; breakdown; dissection; deconstruction; interpretation; explanation; clarification; educate; instruct; teach; train; coach; advise; counsel; share; explain; clarify; illuminate; enlighten; inform; develop; cultivate; nurture; foster; learn; investigate; explore; discover; understand; comprehend; grasp; acquire; gain; obtain; absorb; digest; process; analyze; evaluate; assess
brand-archetypes,regular_guy_girl,The Regular Guy/Girl,ok,connection; inclusion; acceptance; membership; participation; involvement; engagement; integration; assimilation; incorporation; attachment; affiliation; association; relationship; bond; link; tie; unity; togetherness; familiar; recognizable; understandable; comprehensible; accessible; approachable; friendly; welcoming; warm; inviting; open; honest; genuine; authentic; real; true; sincere; heartfelt; natural; unpretentious; legitimate; valid; credible; trustworthy; reliable; dependable; consistent; steady; stable; solid; substantial; meaningful; significant; important; valuable; ordinary; typical; normal; standard; regular; usual; everyday; average; conventional; traditional; mainstream; popular; widespread; prevalent; common; shared; mutual; collective; communal; useful; functional; practical; pragmatic; realistic; sensible; reasonable; logical; rational; sound; viable; feasible; workable; applicable; relevant; pertinent; appropriate; suitable; fitting; grounded
brand-archetypes,jester,The Jester,ok,happiness; delight; pleasure; enjoyment; fun; entertainment; amusement; laughter; mirth; merriment; cheer; cheerfulness; gaiety; glee; elation; euphoria; ecstasy; bliss; rapture; exhilaration; comedy; funniness; wit; humor; joy; recreation; relaxation; leisure; pastime; hobby; activity; pursuit; interest; passion; enthusiasm; excitement; thrill; adventure; experience; journey; trip; amusing; entertaining; enjoyable; pleasant; agreeable; delightful; charming; attractive; appealing; engaging; interesting; captivating; fascinating; intriguing; compelling; absorbing; engrossing; enthralling; mesmerizing; cheerful; happy; joyful; merry; gay; bright; sunny; optimistic; positive; upbeat; enthusiastic; energetic; lively; vivacious; animated; spirited; dynamic; vibrant; colorful; vivid
brand-archetypes,lover,The Lover,ok,desire; longing; yearning; craving; hunger; thirst; appetite; eagerness; enthusiasm; excitement; interest; curiosity; fascination; attraction; appeal; charm; allure; magnetism; charisma; closeness; nearness; proximity; familiarity; acquaintance; knowledge; understanding; comprehension; grasp; mastery; expertise; proficiency; skill; ability; talent; capability; capacity; competence; aptitude; gift; relationship; bond; link; tie; attachment; affiliation; association; connection; physicality; corporeality; materiality; tangibility; palpability; perceptibility; visibility; audibility; touchability; feelability; sensuality; sexuality; eroticism; passion; love; affection; fondness; devotion; dedication; commitment; loyalty; faithfulness; reliability; dependability; trustworthiness; trust; confidence; faith; belief; hope; optimism; positivity; cheerfulness; happiness; joy; delight; pleasure; satisfaction; contentment; fulfillment; gratification; reward
revenue-trends,market_demand,Market Demand,ok,
revenue-trends,trending_keywords,Trending Keywords,ok,
revenue-trends,seasonal_patterns,Seasonal Patterns,ok,
revenue-trends,competitor_gaps,Competitor Gaps,ok,
revenue-trends,emerging_opportunities,Emerging Opportunities,ok,
revenue-trends,price_sensitivity,Price Sensitivity,ok,
revenue-trends,conversion_potential,Conversion Potential,ok,
revenue-trends,upsell_opportunities,Upsell Opportunities,ok,
revenue-trends,cross_sell_potential,Cross Sell Potential,ok,
revenue-trends,customer_segments,Customer Segments,ok,
revenue-trends,retention_strategies,Retention Strategies,ok,
revenue-trends,expansion_opportunities,Expansion Opportunities,ok,
revenue-trends,partnership_potential,Partnership Potential,ok,
revenue-trends,content_gaps,Content Gaps,ok,
revenue-trends,seo_opportunities,Seo Opportunities,ok,
revenue-trends,social_media_trends,Social Media Trends,ok,
